#RESOURCE=yCat_17330124
#Name: J/ApJ/733/124
#Title: Cepheids in M101 observed with HST (Shappee+, 2011)
#Table J_ApJ_733_124_cepheids:
#Name: J/ApJ/733/124/cepheids
#Title: Cepheid variables data  }
#---Details of Columns:
    Per (d)      (F10.6) Period [ucd=time.period]
    e_Per (d)    (F9.6)  Uncertainty in Per [ucd=stat.error]
    Vmag (mag)   (F6.3)  Mean HST V band magnitude [ucd=phot.mag;em.opt.V]
    e_Vmag (mag) (F6.3)  Uncertainty in Vmag [ucd=stat.error;phot.mag;em.opt.V]
---------- --------- ------ ------
Per(d)  e_Per(d)  V_mag(mag)  e_Vmag(mag)
  8.016300  0.052200  25.655  0.049
  7.414000  0.030200  25.536  0.027
 12.021600  0.212600  25.433  0.029
 10.779700  0.186500  25.538  0.030
  7.385500  0.035800  25.445  0.029
  8.605700  0.198300  25.482  0.038
  6.300200  0.047800  25.338  0.047
 17.143700  0.122100  25.416  0.027
 12.438900  0.160600  25.947  0.055
  7.969000  0.069300  25.486  0.024
  7.922700  0.057000  25.482  0.027
  8.330300  0.042200  25.435  0.025
  3.393400  0.028500  25.593  0.033
  8.456700  0.067900  25.563  0.029
  6.304900  0.055000  25.565  0.033
  9.743100  0.107100  25.435  0.027
  6.287800  0.085500  25.503  0.035
  7.985900  0.039600  25.573  0.025
  5.231100  0.027200  25.684  0.032
 16.649000  0.214900  25.567  0.033
  5.206800  0.022500  25.610  0.032
  7.822500  0.050100  25.587  0.028
 15.568200  0.314100  25.560  0.038
 11.994600  0.168700  25.523  0.031
 12.408100  0.239700  25.715  0.037
  4.360900  0.015200  25.684  0.027
  5.786400  0.020300  25.590  0.025
  6.858200  0.065600  25.585  0.028
 18.045800  0.226000  25.479  0.032
 10.222700  0.150000  25.918  0.066
 22.266200  0.447600  25.519  0.032
  6.478200  0.027900  25.547  0.029
  5.473000  0.070000  25.662  0.036
  4.365600  0.034000  25.640  0.035
  6.444200  0.043900  25.547  0.031
 14.454400  0.137000  25.508  0.034
  5.393600  0.060100  25.601  0.035
  5.254900  0.039900  25.778  0.029
  5.697100  0.019300  25.789  0.040
  6.926400  0.046700  25.686  0.028
  5.674100  0.048600  25.589  0.036
 15.250200  0.326500  25.434  0.041
  6.205600  0.080400  25.559  0.043
  8.034100  0.051100  25.589  0.029
  6.906900  0.064000  25.571  0.032
  5.452400  0.017200  25.715  0.030
  5.093600  0.052700  25.426  0.035
  5.352500  0.015700  25.740  0.031
  5.361100  0.014400  25.805  0.031
  5.578700  0.036500  25.789  0.032
  4.594300  0.045500  25.728  0.038
  7.244500  0.112000  25.787  0.038
 10.270300  0.166000  25.548  0.034
  7.823000  0.089700  25.600  0.037
 13.040900  0.241600  25.709  0.039
  4.293100  0.011500  25.844  0.032
  5.637400  0.122500  25.597  0.035
 14.540500  0.109300  25.859  0.044
  4.747000  0.025900  25.892  0.035
  5.576100  0.055400  25.727  0.035
  4.892400  0.018500  25.843  0.038
  7.291100  0.052700  25.558  0.034
  5.875700  0.029900  25.710  0.032
 14.544500  0.205400  25.644  0.035
  5.447500  0.046400  25.813  0.035
  6.603200  0.105100  25.746  0.035
  5.279900  0.054400  25.790  0.034
  4.887800  0.034600  25.848  0.031
  4.624800  0.061700  25.981  0.036
  4.795100  0.050700  25.926  0.035
  6.032700  0.054700  25.647  0.033
  4.383000  0.009300  25.795  0.031
  4.916300  0.026600  25.694  0.032
  5.227800  0.057300  25.840  0.036
  7.790600  0.129500  25.783  0.038
  5.020700  0.046000  25.762  0.038
  5.463000  0.048300  25.817  0.035
  5.225200  0.042000  25.797  0.033
  4.476500  0.040400  25.877  0.035
  5.131700  0.030600  25.957  0.034
  7.003000  0.073200  25.768  0.036
 11.089700  0.085500  26.012  0.048
  5.064600  0.038500  25.835  0.033
  5.612800  0.045800  25.882  0.041
  5.407400  0.050100  25.748  0.036
  5.170400  0.023900  25.810  0.036
  4.873400  0.033800  25.896  0.039
  4.935700  0.043700  25.799  0.051
  5.215900  0.045000  25.918  0.037
  5.488600  0.052100  25.881  0.040
  7.055300  0.043000  25.863  0.032
  6.331700  0.101400  25.990  0.043
  4.840400  0.028500  25.820  0.035
 12.379900  0.240100  25.589  0.048
  4.845000  0.065500  25.867  0.039
  5.179000  0.017300  26.056  0.037
  4.132300  0.014000  25.923  0.034
  6.358100  0.029000  25.784  0.042
 11.960000  0.281400  25.832  0.038
  5.164300  0.022500  26.036  0.061
  3.838600  0.009300  26.073  0.036
  6.066500  0.041000  25.927  0.037
  5.080400  0.021000  25.959  0.034
  4.494500  0.041500  25.906  0.038
  5.061100  0.013400  25.989  0.041
  8.307400  0.112400  25.928  0.040
  4.443700  0.014400  26.051  0.035
  6.203800  0.042500  25.890  0.043
  3.566600  0.050300  25.993  0.042
  3.850200  0.017800  26.025  0.043
  5.271800  0.034700  26.046  0.045
  5.732900  0.043000  25.930  0.046
  4.015800  0.037400  25.973  0.057
  3.814500  0.021100  26.112  0.040
  5.853900  0.068900  25.965  0.040
  5.068800  0.086100  25.805  0.066
  4.016900  0.015000  26.154  0.040
  5.225900  0.024700  26.187  0.041
  3.349500  0.041200  25.983  0.045
  4.297200  0.039000  26.158  0.084
  4.856400  0.029500  26.192  0.043
  3.683100  0.008300  26.208  0.045
  4.756400  0.081500  26.186  0.067
  4.391900  0.030800  26.451  0.052
  3.200600  0.029400  26.417  0.160
 35.503700  2.060000  23.137  0.013
 58.766000  1.308000  22.968  0.008
 67.956100  4.591000  23.350  0.046
 61.862700  2.448100  23.005  0.017
