MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1101011030228,18.10,0.11,30.01640, 1.42013,54716.41043,0
1101011030228,18.24,0.12,30.01651, 1.42015,54716.41701,0
1101011030228,17.91,0.11,30.01632, 1.42016,54730.42132,0
1101011030228,18.18,0.12,30.01650, 1.42016,54730.42780,0
1101011030228,18.20,0.12,30.01649, 1.42018,54730.43429,0
1101011030228,18.17,0.12,30.01643, 1.42022,54730.44078,0
1101011030228,18.01,0.11,30.01648, 1.42028,54738.35115,0
1101011030228,18.02,0.11,30.01654, 1.42015,54738.36200,0
1101011030228,18.14,0.11,30.01650, 1.42019,54738.37291,0
1101011030228,18.13,0.11,30.01644, 1.42000,54738.38377,0
1101011030228,17.39,0.09,30.01713, 1.42133,55061.39275,0
1101011030228,18.05,0.11,30.01640, 1.42019,55061.39986,0
1101011030228,18.03,0.11,30.01633, 1.42005,55061.40696,0
1101011030228,18.14,0.12,30.01636, 1.42015,55061.41393,0
1101011030228,18.14,0.16,30.01639, 1.42016,55073.34538,0
1101011030228,17.85,0.14,30.01647, 1.42002,55073.35126,0
1101011030228,17.86,0.14,30.01634, 1.41994,55073.35704,0
1101011030228,18.00,0.15,30.01635, 1.42019,55073.36287,0
1101011030228,18.10,0.13,30.01646, 1.42007,54850.09939,0
1101011030228,18.18,0.13,30.01633, 1.42001,54850.10534,0
1101011030228,18.35,0.14,30.01629, 1.41996,54850.11123,0
1101011030228,18.26,0.14,30.01624, 1.42013,54850.11716,0
1101011030228,17.87,0.11,30.01635, 1.41998,55143.31553,0
1101011030228,18.06,0.11,30.01635, 1.42005,55143.32214,0
1101011030228,17.98,0.11,30.01639, 1.42004,55143.32884,0
1101011030228,18.04,0.11,30.01632, 1.42006,55143.33536,0
1101011030228,17.95,0.11,30.01638, 1.42004,55158.17487,0
1101011030228,17.89,0.11,30.01641, 1.42008,55158.18081,0
1101011030228,17.84,0.10,30.01648, 1.42019,55158.18686,0
1101011030228,17.99,0.11,30.01633, 1.42013,55158.19278,0
1101011030228,18.01,0.11,30.01639, 1.42005,55158.19877,0
1101011030228,18.01,0.11,30.01628, 1.42004,55120.38042,0
1101011030228,17.92,0.11,30.01639, 1.42029,55120.38653,0
1101011030228,17.86,0.11,30.01641, 1.42018,55120.39268,0
1101011030228,17.95,0.11,30.01628, 1.42006,55120.39880,0
1101011030228,18.14,0.14,30.01645, 1.42018,55534.26686,0
1101011030228,18.04,0.10,30.01644, 1.42014,55534.28074,0
1101011030228,18.07,0.10,30.01646, 1.42016,55534.28774,0
1101011030228,17.94,0.13,30.01624, 1.41994,55245.09213,0
1101011030228,18.03,0.14,30.01640, 1.42015,55245.09439,0
1101011030228,17.74,0.12,30.01626, 1.42004,55245.09664,0
1101011030228,17.86,0.13,30.01638, 1.41991,55245.09893,0
1101011030228,17.94,0.11,30.01636, 1.42001,55208.09820,0
1101011030228,17.96,0.11,30.01628, 1.41996,55208.10561,0
1101011030228,17.91,0.11,30.01629, 1.41993,55208.11305,0
1101011030228,18.04,0.11,30.01634, 1.41994,55208.12047,0
1101011030228,17.97,0.10,30.01639, 1.42005,55506.31589,0
1101011030228,17.96,0.10,30.01628, 1.42004,55506.33396,0
1101011030228,18.05,0.10,30.01630, 1.42021,55506.34309,0
1101011030228,18.09,0.12,30.01633, 1.42017,55514.25198,0
1101011030228,18.07,0.12,30.01641, 1.42016,55514.26590,0
1101011030228,18.15,0.12,30.01641, 1.42013,55514.27285,0
1101011030228,18.00,0.13,30.01642, 1.42000,55528.21699,0
1101011030228,18.04,0.13,30.01619, 1.42008,55528.23067,0
1101011030228,18.07,0.14,30.01620, 1.42005,55528.23763,0
1101011030228,18.05,0.12,30.01632, 1.42015,55472.38634,0
1101011030228,18.06,0.12,30.01640, 1.42015,55472.39819,0
1101011030228,18.09,0.12,30.01636, 1.42011,55472.40409,0
1101011030228,18.05,0.11,30.01647, 1.42022,55480.28770,0
1101011030228,17.96,0.11,30.01638, 1.42011,55480.30164,0
1101011030228,18.10,0.12,30.01645, 1.42011,55480.30867,0
1101011030228,17.92,0.11,30.01637, 1.42024,55498.29613,0
1101011030228,17.98,0.11,30.01634, 1.42009,55498.30989,0
1101011030228,17.88,0.11,30.01635, 1.42007,55498.31682,0
1101011030228,17.96,0.13,30.01643, 1.42005,55577.18399,0
1101011030228,18.04,0.14,30.01625, 1.42017,55577.19127,0
1101011030228,17.88,0.13,30.01630, 1.42023,55577.19860,0
1101011030228,18.07,0.14,30.01630, 1.42019,55577.20588,0
1101011030228,17.70,0.12,30.01646, 1.42027,55589.11396,0
1101011030228,17.81,0.13,30.01638, 1.42002,55589.11857,0
1101011030228,17.78,0.12,30.01634, 1.42020,55589.12311,0
1101011030228,18.05,0.14,30.01641, 1.42015,55589.12769,0
1101011030228,18.09,0.12,30.01643, 1.41997,53648.34388,0
1101011030228,18.11,0.12,30.01645, 1.41997,53648.35312,0
1101011030228,18.27,0.13,30.01630, 1.41999,53648.36240,0
1101011030228,18.09,0.12,30.01636, 1.42014,53648.37163,0
1101011030228,18.08,0.11,30.01647, 1.42005,55824.41821,0
1101011030228,18.17,0.12,30.01635, 1.42000,55824.42502,0
1101011030228,17.99,0.11,30.01652, 1.42010,55824.43182,0
1101011030228,17.92,0.11,30.01643, 1.42007,55824.43856,0
1101011030228,17.90,0.11,30.01654, 1.42004,55861.24752,0
1101011030228,18.21,0.12,30.01634, 1.42011,55861.25444,0
1101011030228,18.17,0.12,30.01639, 1.41978,55861.26138,0
1101011030228,17.82,0.11,30.01638, 1.42016,55861.26829,0
1101011030228,18.07,0.12,30.01646, 1.42027,55834.28337,0
1101011030228,18.18,0.12,30.01658, 1.42004,55834.29077,0
1101011030228,18.77,0.28,30.01674, 1.41984,55834.30564,0
1101011030228,18.01,0.11,30.01650, 1.42002,55881.21556,0
1101011030228,18.08,0.11,30.01632, 1.41992,55881.22058,0
1101011030228,18.08,0.11,30.01643, 1.42016,55881.22571,0
1101011030228,18.06,0.11,30.01634, 1.41999,55881.23081,0
1101011030228,17.97,0.11,30.01655, 1.42006,55851.19454,0
1101011030228,18.29,0.12,30.01639, 1.42010,55851.20135,0
1101011030228,17.95,0.11,30.01655, 1.41998,55851.20817,0
1101011030228,18.04,0.11,30.01633, 1.41999,55851.21497,0
1101011030228,17.79,0.10,30.01653, 1.42004,55893.18143,0
1101011030228,18.09,0.11,30.01636, 1.42003,55893.18657,0
1101011030228,17.92,0.11,30.01648, 1.42006,55893.19171,0
1101011030228,18.03,0.11,30.01639, 1.42015,55893.19692,0
1101011030228,17.78,0.11,30.01645, 1.42011,56191.37078,0
